9,K,W,10,K
J,A,N,A,J
N,N,9,A,A
N,K,J,9,W
A,J,S,10,J
J,S,S,Q,9
A,9,N,A,S
9,9,K,K,S
Q,N,N,S,Q
10,9,Q,K,A
K,J,A,J,10
N,N,J,J,10
J,W,10,S,10
10,Q,9,Q,S
9,J,K,9,10
J,S,10,9,K
9,N,A,N,N
A,S,N,A,N
9,N,S,N,10
Q,A,K,N,N
J,9,A,10,9
9,10,N,K,10
Q,K,J,J,Q
J,N,J,9,S
10,Q,10,Q,W
J,A,Q,Q,S
10,9,S,A,W
10,W,W,K,N
Q,N,S,N,S
9,9,A,A,N
10,J,10,K,N
N,Q,9,A,A
9,N,S,Q,A
J,W,A,10,9
N,A,10,N,9
Q,N,J,S,N
10,W,A,Q,9
9,9,K,A,K
A,N,J,K,9
J,A,K,A,K
A,N,Q,N,S
Q,9,9,A,N
9,9,W,J,Q
K,Q,N,K,10
J,A,9,N,K
9,A,N,Q,J
K,W,J,9,9
K,J,W,K,Q
9,10,Q,Q,10
A,A,10,N,N
J,9,10,J,N
N,K,Q,10,10
A,W,10,10,Q
K,N,9,Q,N
J,A,A,A,A
10,W,N,A,K
10,10,A,N,J
9,Q,K,K,10
K,N,Q,A,9
10,10,N,K,W
10,K,N,J,10
Q,W,J,A,9
10,10,N,Q,W
Q,10,A,K,Q
Q,J,10,W,W
N,9,J,10,10
Q,Q,9,A,W
A,10,9,N,10
K,10,S,J,10
A,N,N,K,A
A,N,A,S,A
Q,K,J,K,Q
J,K,9,10,N
K,S,J,J,N
J,N,9,K,J
N,A,A,N,K
9,9,A,10,10
N,K,J,N,N
A,10,K,Q,Q
N,J,N,J,S
9,10,S,S,J
J,N,K,N,Q
K,A,10,W,W
N,J,K,9,Q
K,Q,N,J,10
9,S,10,Q,J
N,Q,J,10,A
Q,K,Q,W,J
10,J,W,9,J
A,S,J,Q,J
9,Q,K,K,10
K,S,10,S,10
J,9,A,Q,K
10,N,J,S,10
A,K,A,K,A
N,9,A,A,10
J,Q,A,W,J
10,9,K,J,K
Q,N,N,K,Q
N,W,W,N,N
10,Q,10,Q,10
Q,J,S,Q,S
N,A,A,W,Q
N,N,W,J,A
10,10,J,A,9
N,K,Q,9,K
N,J,W,10,A
9,J,Q,N,K
Q,9,A,W,10
10,A,N,N,9
N,W,K,N,W
K,N,Q,K,N
J,W,9,J,9
A,W,N,N,N
Q,K,W,K,10
N,Q,K,K,N
Q,10,10,W,9
10,J,10,J,N
K,N,10,Q,N
K,10,W,10,Q
J,9,10,J,S
J,Q,N,K,K
10,K,Q,N,10
K,10,N,N,W
10,J,N,9,K
Q,K,N,J,J
N,N,W,9,9
9,J,N,N,10
N,10,9,S,A
J,Q,9,N,Q
N,W,J,10,9
N,S,A,9,10
N,9,J,9,N
Q,S,Q,10,Q
10,10,S,N,9
9,N,N,K,10
K,N,K,A,K
A,10,K,J,W
Q,A,10,9,K
N,A,Q,S,9
N,S,A,10,10
N,10,K,W,K
N,K,9,Q,K
Q,10,N,9,W
9,K,9,9,A
J,Q,K,S,Q
J,N,S,Q,A
J,K,S,A,S
Q,J,N,9,10
9,J,S,N,N
9,9,N,10,N
N,9,J,N,N
J,W,J,K,9
10,9,W,10,10
10,J,10,S,Q
J,A,K,9,K
K,W,Q,Q,K
K,K,A,W,J
9,S,N,N,K
9,10,W,N,10
10,Q,K,N,J
K,K,N,10,N
10,10,10,S,10
J,N,9,Q,Q
N,J,A,S,9
9,K,N,W,9
Q,A,10,A,W
N,W,K,K,K
J,N,W,N,K
A,K,N,N,A
N,9,W,9,A
J,N,K,Q,W
J,N,10,Q,N
K,S,N,J,Q
10,S,Q,A,A
9,9,N,J,10
9,9,N,9,10
A,J,S,Q,N
10,N,K,10,K
N,A,S,10,K
Q,K,Q,K,S
Q,S,S,W,S
K,Q,K,J,A
A,N,9,Q,J
Q,10,S,K,K
J,J,K,10,K
N,J,S,Q,A
N,9,N,9,10
N,N,K,10,10
Q,K,9,J,K
K,S,S,A,K
A,N,N,J,J
Q,9,A,S,S
J,K,N,K,N
J,10,A,S,N
10,N,N,S,J
9,S,J,S,K
A,A,J,Q,K
K,W,10,Q,A
Q,9,A,S,10
N,K,W,9,Q
K,S,N,10,N
K,W,A,Q,W
J,9,N,J,A
N,Q,A,9,Q
K,N,Q,N,Q
N,10,9,N,S
A,K,N,J,J
9,K,J,Q,S
Q,Q,K,A,S
N,N,A,Q,N
10,A,A,W,J
9,10,K,J,S
K,J,J,A,K
10,N,K,10,10
N,N,K,10,Q
10,9,N,Q,Q
J,S,N,J,10
N,W,Q,9,S
J,K,W,J,N
A,9,Q,K,W
J,J,J,N,Q
K,Q,10,Q,10
A,Q,N,N,J
N,9,A,9,9
A,W,10,W,J
10,J,J,K,N
A,K,N,N,10
N,J,9,W,W
10,A,S,A,J
A,10,9,Q,10
N,Q,K,Q,S
10,A,K,A,S
J,9,N,W,A
9,J,Q,Q,W
K,9,A,9,J
9,10,9,9,Q
10,N,J,N,K
10,J,Q,S,S
A,A,Q,J,9
9,N,9,N,N
N,N,N,A,N
J,A,10,9,9
10,W,J,W,J
K,K,K,N,N
K,J,J,W,S
A,S,J,J,S
J,A,N,S,10
A,J,N,N,K
K,J,N,Q,J
A,N,N,9,S
J,Q,N,K,10
Q,W,J,A,Q
Q,A,Q,S,10
K,N,9,W,N
10,K,9,N,W
Q,9,N,10,10
10,N,9,Q,9
N,S,N,S,K
K,Q,N,Q,A
9,A,A,J,10
9,W,K,A,N
N,N,A,K,10
J,K,N,10,9
Q,J,10,Q,9
N,Q,K,N,J
K,K,10,10,A
10,10,Q,J,9
N,W,N,N,W
10,N,K,10,9
Q,9,10,W,Q
K,N,W,J,N
A,10,N,K,Q
J,J,K,J,W
K,K,N,N,N
A,9,10,J,Q
10,K,K,N,N
K,9,K,J,10
Q,Q,W,Q,10
J,Q,Q,S,10
Q,W,K,J,10
9,10,K,A,S
Q,10,W,N,A
J,9,9,Q,9
K,N,N,S,Q
N,N,10,9,K
Q,10,N,A,9
J,S,A,10,J
N,W,9,Q,9
9,Q,A,K,S
10,K,Q,A,J
K,A,K,A,K
10,S,A,N,N
10,A,N,9,9
J,J,N,J,N
N,Q,N,10,J
A,J,10,S,10
K,10,Q,S,N
J,A,W,Q,N
10,S,10,S,S
A,N,10,S,N
10,10,S,K,J
J,K,Q,9,9
Q,J,9,10,K
J,10,K,N,J
9,K,9,9,A
Q,A,S,A,N
9,N,N,J,N
J,10,A,9,9
A,10,Q,J,S
10,Q,N,K,9
10,S,Q,A,K
10,A,Q,W,Q
9,K,9,J,A
A,9,N,S,J
N,K,K,N,S
10,9,A,K,N
N,J,9,W,9
K,9,K,10,9
Q,A,K,N,J
J,J,J,N,9
N,10,K,A,N
N,W,Q,K,N
K,9,A,J,10
10,10,N,9,Q
Q,S,S,K,K
9,Q,K,10,N
J,J,Q,W,A
N,W,10,9,Q
Q,J,W,K,9
A,J,Q,N,Q
K,N,9,N,9
N,N,Q,S,N
J,N,N,Q,Q
N,A,N,A,A
N,A,9,9,J
J,10,S,S,9
10,J,J,N,J
K,Q,A,N,S
Q,9,10,Q,A
J,K,9,N,N
K,S,Q,10,9
Q,N,N,J,10
Q,10,Q,W,K
10,W,10,10,9
10,K,K,W,Q
Q,A,N,S,N
A,Q,K,A,N
9,J,10,K,W
N,10,N,Q,W
N,9,10,A,9
9,K,N,A,S
9,S,Q,K,S
K,S,Q,10,9
Q,W,S,W,J
A,A,J,10,W
N,K,10,S,Q
N,10,Q,10,W
A,A,Q,K,S
10,W,S,A,A
N,N,10,N,A
J,J,S,10,K
Q,W,A,S,J
A,S,N,K,K
