K,10,J,K,K
A,N,N,N,A
A,10,10,W,N
9,J,Q,K,A
10,J,W,10,9
10,J,Q,Q,9
Q,10,10,N,W
K,A,K,9,N
10,9,N,N,J
10,9,W,A,K
N,10,K,A,N
J,A,W,N,K
10,N,N,Q,J
9,A,K,10,N
J,10,9,Q,J
10,9,Q,Q,K
J,J,N,10,N
N,J,10,A,J
N,9,J,N,W
N,N,N,A,N
A,9,Q,J,Q
10,9,A,J,9
Q,K,Q,K,10
K,N,K,J,J
N,J,9,J,10
N,J,Q,J,A
9,N,9,W,N
10,K,K,N,W
10,Q,N,N,A
K,A,K,N,10
J,K,Q,A,K
K,N,N,W,Q
K,Q,Q,K,9
A,K,N,N,Q
N,A,J,10,N
A,10,A,Q,Q
A,J,9,N,A
J,A,A,9,N
9,Q,9,A,Q
10,A,J,J,N
J,K,J,10,10
Q,N,10,10,9
K,N,9,K,9
J,10,N,10,10
N,10,K,J,N
J,W,9,N,N
J,K,W,A,Q
10,Q,A,N,K
10,A,J,N,J
N,W,Q,10,N
10,Q,N,N,J
N,10,N,9,J
K,N,K,N,J
10,A,A,K,Q
N,9,N,N,10
N,N,N,K,Q
9,A,K,A,K
10,10,10,9,N
Q,A,9,K,N
N,J,K,N,K
9,9,10,A,K
Q,A,N,N,A
Q,Q,A,N,N
10,N,N,10,9
9,Q,Q,Q,10
N,10,N,9,10
K,W,10,K,N
10,9,J,N,10
10,9,K,10,J
9,A,K,9,A
A,N,J,10,J
10,J,A,N,A
9,10,W,10,Q
N,Q,J,J,A
K,10,9,A,9
J,W,9,K,10
K,9,K,10,9
N,N,N,N,10
A,J,Q,W,J
J,J,N,A,K
N,9,N,N,10
Q,N,J,K,N
N,Q,A,N,N
Q,N,Q,Q,K
10,N,10,10,9
9,Q,W,9,N
K,9,Q,9,10
N,A,W,W,A
N,K,K,N,10
Q,10,J,10,W
9,A,9,W,A
K,W,A,Q,N
Q,Q,10,10,N
9,9,J,Q,J
J,9,N,10,9
J,9,A,9,9
K,N,J,9,10
9,9,N,K,10
J,J,9,N,9
10,A,A,10,J
J,K,W,9,N
9,N,9,K,K
A,10,N,Q,10
N,N,A,K,N
A,J,N,10,W
10,A,W,10,N
A,Q,N,A,Q
9,A,Q,A,9
10,W,9,A,N
10,K,A,A,Q
A,Q,A,N,K
N,N,N,9,N
N,J,9,Q,J
A,A,9,K,N
N,K,10,Q,N
J,N,A,N,N
Q,A,J,J,10
J,J,9,W,10
N,10,9,J,N
N,A,N,10,Q
10,K,K,Q,N
J,9,W,N,Q
10,A,K,Q,N
A,N,10,A,K
A,Q,N,9,N
A,K,J,A,N
10,N,K,9,Q
Q,10,A,9,Q
A,A,10,10,K
K,K,N,Q,A
