K,10,J,K,K
A,N,N,N,N
A,10,10,N,N
9,J,Q,K,N
N,J,W,10,9
10,N,Q,Q,9
Q,10,10,N,W
N,A,K,9,N
10,9,N,N,J
10,9,W,A,K
N,10,K,A,N
J,N,W,N,K
10,N,N,Q,J
9,A,K,10,N
J,N,N,Q,J
10,9,Q,Q,K
J,J,N,10,N
N,J,10,A,J
N,N,J,N,W
N,N,N,A,N
N,9,Q,J,Q
10,9,A,J,9
Q,K,N,K,10
K,N,K,J,J
N,J,9,N,N
N,J,Q,J,A
9,N,9,W,N
10,K,K,N,W
N,Q,N,N,A
K,A,K,N,10
N,N,Q,A,K
K,N,N,W,Q
K,Q,Q,K,9
A,K,N,N,Q
N,A,J,10,N
A,10,A,Q,N
A,N,9,N,A
J,A,A,9,N
9,Q,9,A,Q
10,A,J,J,N
J,K,J,N,10
Q,N,10,10,9
K,N,9,K,9
J,10,N,10,10
N,10,K,J,N
J,W,9,N,N
J,K,W,A,Q
10,Q,N,N,K
10,A,J,N,J
N,W,Q,N,N
10,Q,N,N,J
N,10,N,9,N
K,N,N,N,J
10,A,A,K,Q
N,9,N,N,10
N,N,N,K,Q
N,N,K,A,K
10,10,N,9,N
Q,A,9,K,N
N,J,K,N,K
9,9,N,A,K
Q,A,N,N,A
Q,Q,A,N,N
10,N,N,10,9
9,N,Q,N,10
N,N,N,9,10
K,W,10,K,N
N,9,J,N,10
10,9,K,10,J
9,A,K,9,N
A,N,J,10,J
10,J,A,N,A
9,10,W,N,Q
N,Q,J,J,A
K,10,9,N,9
J,W,N,K,10
K,9,K,10,9
N,N,N,N,10
A,J,Q,W,J
J,J,N,A,K
N,9,N,N,N
N,N,J,K,N
N,Q,A,N,N
Q,N,Q,Q,K
10,N,10,10,9
9,Q,N,9,N
K,9,Q,9,N
N,A,W,W,A
N,K,K,N,10
Q,10,J,10,W
9,A,9,W,A
K,W,A,Q,N
Q,Q,10,10,N
9,9,N,Q,J
J,9,N,10,9
J,9,A,9,9
K,N,J,9,10
9,9,N,K,10
J,J,9,N,9
10,A,A,10,J
J,K,W,N,N
9,N,9,K,K
A,10,N,Q,N
N,N,A,K,N
A,J,N,10,W
10,A,W,10,N
A,N,N,A,Q
9,A,Q,A,9
10,W,9,A,N
10,K,A,A,Q
A,Q,A,N,K
N,N,N,9,N
N,J,9,N,J
A,A,9,K,N
N,K,10,Q,N
J,N,A,N,N
N,A,J,J,10
J,J,9,W,10
N,10,9,J,N
N,A,N,10,Q
10,K,N,Q,N
J,9,W,N,Q
10,A,K,Q,N
A,N,10,A,K
A,Q,N,9,N
A,K,J,A,N
10,N,K,N,Q
Q,10,N,9,Q
A,A,10,10,K
K,N,N,Q,A
9,Q,9,Q,W
N,10,K,10,K
A,N,J,Q,A
9,J,N,A,9
10,N,9,N,K
J,N,Q,W,Q
J,A,N,N,10
N,9,W,N,N
10,W,10,J,10
9,W,K,Q,J
N,A,Q,N,Q
Q,10,N,9,J
A,J,N,N,A
9,K,J,10,A
A,A,A,9,N
N,A,10,N,K
N,J,A,N,J
J,A,N,Q,N
N,N,N,J,N
K,K,Q,A,J
Q,9,N,N,N
9,N,10,K,K
A,K,J,N,Q
9,J,J,J,J
N,N,N,N,J
9,N,J,Q,A
9,Q,10,9,9
J,9,Q,K,9
N,K,A,10,A
A,A,N,N,9
N,9,Q,Q,K
A,9,9,Q,9
K,J,J,K,A
Q,J,A,Q,A
Q,10,N,N,A
K,Q,9,J,N
N,N,K,Q,A
10,N,J,N,K
J,K,N,W,Q
N,N,A,Q,A
A,Q,J,Q,A
A,K,Q,A,K
K,A,9,N,N
9,10,A,N,N
A,A,10,Q,10
9,N,W,A,W
9,9,A,K,K
10,K,Q,A,J
N,K,N,Q,10
Q,A,A,J,A
10,J,Q,N,9
N,J,K,N,Q
Q,J,W,A,N
N,J,W,Q,10
A,9,A,W,A
9,10,N,9,A
K,10,N,9,W
J,N,A,A,N
K,J,A,N,10
A,W,K,A,Q
N,9,10,Q,N
J,N,A,N,J
N,K,N,N,9
J,N,10,N,K
J,A,9,W,10
K,Q,J,N,K
N,10,9,Q,Q
J,W,N,K,Q
9,N,Q,Q,K
9,10,Q,A,A
N,J,A,K,W
J,J,N,N,A
A,10,N,J,9
J,J,10,N,W
Q,A,N,K,Q
Q,9,9,10,J
N,10,N,J,N
J,J,Q,Q,9
9,K,Q,10,N
N,9,W,N,10
N,Q,K,Q,9
N,A,10,N,10
K,N,N,9,A
A,A,N,N,J
N,K,10,Q,A
A,A,K,9,A
10,N,J,K,10
10,10,A,10,K
J,9,9,A,9
N,W,N,Q,Q
10,N,10,9,10
Q,W,W,W,10
9,9,J,10,N
J,A,10,A,9
J,K,K,10,9
10,N,9,K,A
Q,N,9,N,Q
N,N,N,9,N
J,A,K,K,Q
J,W,9,W,J
N,K,N,10,N
N,J,10,N,K
10,N,N,10,W
A,W,A,J,J
N,N,N,J,J
Q,9,Q,9,K
N,K,N,J,10
9,A,10,K,N
9,J,K,K,Q
9,A,9,N,Q
J,W,K,Q,N
K,K,W,J,10
10,K,J,N,N
J,W,J,A,J
K,W,K,N,N
9,Q,K,10,W
A,A,Q,A,N
J,K,J,Q,N
9,N,10,W,10
N,J,W,10,N
N,K,A,A,Q
A,10,W,Q,K
Q,K,J,W,K
A,W,N,N,K
10,A,N,N,9
9,J,N,9,Q
A,10,W,10,J
K,10,Q,Q,A
9,K,Q,A,9
K,N,Q,W,9
9,K,Q,9,K
9,10,A,Q,10
Q,K,N,K,W
10,J,N,N,N
9,J,9,A,10
J,N,9,9,10
10,K,9,A,10
N,K,Q,N,N
Q,J,Q,10,K
9,N,K,N,K
9,10,W,N,W
A,9,K,W,10
J,9,Q,A,Q
K,K,Q,J,N
N,10,9,N,10
9,9,N,J,K
10,Q,A,K,A
K,N,10,10,J
10,N,10,J,N
10,A,N,W,N
10,N,N,A,Q
Q,9,A,N,N
K,Q,N,N,A
9,10,K,N,Q
N,N,A,J,9
A,A,N,N,10
J,10,10,N,Q
N,9,A,K,N
9,9,A,A,N
J,A,N,9,N
9,Q,N,Q,W
A,N,Q,J,9
Q,N,W,W,W
N,N,J,N,N
A,Q,A,10,W
N,N,J,N,N
K,N,N,Q,A
N,A,N,K,Q
10,N,9,Q,N
N,A,N,10,J
K,10,N,N,10
J,W,A,K,N
A,N,K,N,J
N,9,10,A,A
N,N,K,N,W
Q,K,10,N,N
10,9,10,W,W
N,10,N,W,W
N,Q,N,9,N
Q,9,9,A,10
J,N,Q,N,W
10,J,9,A,N
N,10,K,A,10
A,N,10,N,N
J,J,A,J,A
A,N,N,9,Q
A,9,W,K,Q
J,10,10,A,J
N,9,N,J,J
K,J,J,A,N
10,9,A,A,K
A,N,9,W,N
N,K,K,J,W
Q,N,K,A,9
J,K,9,10,K
K,10,N,9,10
K,J,A,K,10
A,Q,N,W,W
A,9,W,N,J
10,A,A,A,Q
N,A,J,K,9
N,N,9,9,10
A,10,K,N,K
9,N,9,N,10
N,J,10,A,N
K,10,A,10,J
9,J,K,N,N
N,N,K,9,N
N,K,J,N,N
A,W,10,N,W
Q,N,K,W,N
N,N,N,N,A
J,N,10,Q,W
N,9,9,N,W
Q,N,A,N,J
Q,N,N,A,10
A,A,10,10,N
N,Q,A,N,N
N,N,Q,A,K
10,9,N,10,Q
N,9,J,Q,10
10,N,N,N,9
A,9,N,A,9
9,Q,N,N,9
K,K,9,10,A
Q,A,N,N,9
Q,A,Q,W,N
9,A,N,N,9
10,N,10,A,K
Q,Q,K,9,Q
10,J,A,10,K
N,N,Q,N,10
J,9,N,A,N
10,10,Q,N,N
K,N,N,W,K
A,Q,A,N,9
K,N,K,W,W
N,J,A,9,K
10,N,A,A,10
A,Q,9,N,Q
9,Q,10,N,J
K,9,N,K,N
10,N,Q,Q,N
N,A,K,Q,N
9,N,J,N,J
K,Q,10,K,N
N,N,W,N,W
9,N,J,A,9
N,K,J,J,N
K,10,A,10,A
K,N,K,N,A
10,W,N,Q,9
9,N,J,10,9
10,N,J,N,N
K,N,W,J,K
9,N,9,K,K
N,J,N,10,Q
A,A,9,10,N
Q,K,10,K,K
Q,A,A,J,W
N,A,K,N,K
Q,J,K,N,N
Q,10,K,K,9
K,J,W,W,Q
Q,W,10,10,N
A,J,N,K,9
N,J,K,10,10
10,10,A,N,A
N,W,Q,A,W
N,N,N,J,K
A,K,9,K,K
10,W,W,N,N
A,Q,J,10,A
9,N,W,N,10
9,Q,J,9,Q
N,K,Q,N,W
K,K,N,J,N
A,N,N,N,K
J,10,J,N,9
10,Q,W,W,N
10,J,9,N,J
K,W,N,9,9
K,K,K,10,10
J,10,10,10,10
K,K,N,Q,N
N,A,9,W,Q
J,9,W,9,K
N,N,10,N,10
9,N,J,9,K
10,K,A,A,N
Q,N,N,10,K
9,N,N,10,N
N,K,K,W,9
Q,9,N,10,9
N,A,J,J,N
J,10,N,9,A
9,N,J,J,N
N,10,N,10,N
N,K,Q,10,9
J,N,J,N,Q
K,K,W,A,A
N,W,N,W,J
K,N,K,9,W
10,10,K,N,N
N,A,A,Q,A
N,K,A,9,N
J,N,A,N,9
N,N,K,K,N
N,N,K,10,J
N,Q,10,A,N
N,Q,N,K,9
K,N,9,Q,Q
N,A,10,9,N
N,N,Q,A,10
10,N,J,A,N
10,N,10,J,A
N,A,9,N,Q
N,J,N,9,J
10,9,N,Q,10
K,W,W,J,10
Q,N,A,Q,K
N,W,10,A,N
9,W,W,Q,9
N,N,10,A,N
K,N,K,J,10
Q,9,Q,N,N
Q,N,N,K,10
J,Q,Q,N,W
A,N,J,Q,10
9,9,9,Q,10
J,N,9,N,N
9,W,W,Q,9
Q,W,J,9,9
10,10,K,10,Q
N,10,N,N,J
Q,K,J,10,N
9,Q,9,9,10
A,10,N,N,A
N,Q,10,Q,W
9,W,10,N,K
10,A,K,J,J
N,A,9,10,10
10,N,Q,W,J
N,K,W,Q,N
A,Q,N,K,W
N,N,J,9,Q
A,N,9,N,Q
A,N,9,K,9
N,J,N,N,Q
A,A,10,9,K
A,K,A,N,K
9,J,K,N,J
J,A,N,10,9
A,N,K,10,9
J,9,10,N,J
N,J,9,N,J
Q,W,N,N,A
K,J,W,9,N
9,N,K,J,N
9,N,N,9,9
N,N,N,Q,N
Q,Q,A,J,Q
N,N,J,A,10
N,J,10,J,9
J,Q,N,10,9
K,K,N,K,N
J,J,J,10,N
9,9,A,J,N
10,K,9,N,J
Q,Q,N,10,N
N,J,N,N,K
N,N,10,A,N
Q,K,W,J,Q
N,K,N,N,10
K,N,N,N,9
10,Q,Q,9,N
J,9,K,N,N
N,K,A,W,J
N,W,N,W,10
N,W,N,N,Q
Q,N,9,10,W
10,10,J,10,N
A,N,N,J,J
A,N,N,10,10
K,N,J,A,A
9,K,N,N,10
9,10,N,10,10
Q,10,A,N,J
N,N,N,N,9
J,N,9,A,A
10,10,Q,J,N
N,N,N,10,9
N,J,Q,10,Q
J,9,J,Q,Q
10,J,9,J,N
K,N,K,N,N
10,A,9,9,W
K,N,A,K,K
K,N,K,N,K
A,J,A,J,K
A,J,9,N,N
N,10,N,N,9
N,Q,N,N,N
Q,10,Q,10,A
J,N,N,N,K
9,N,A,N,10
Q,9,A,N,N
N,K,Q,N,9
J,10,N,N,W
9,W,K,N,J
10,A,N,N,Q
J,10,10,10,W
N,Q,N,K,9
9,K,9,A,A
K,Q,10,10,K
Q,A,A,N,J
9,J,10,N,J
K,9,N,N,9
N,N,9,9,N
J,9,N,J,K
9,N,N,9,A
J,J,Q,J,W
Q,10,N,W,W
9,K,K,N,A
Q,Q,N,Q,10
N,K,Q,10,J
10,K,J,K,A
10,10,N,J,K
9,10,9,W,A
K,W,N,N,Q
Q,A,10,K,9
J,10,K,N,N
Q,Q,Q,10,10
N,N,10,J,A
10,J,Q,J,K
N,J,J,10,Q
K,W,N,K,N
J,A,10,10,K
10,J,K,J,K
Q,Q,K,N,Q
N,9,10,N,Q
J,J,N,K,N
A,Q,N,Q,N
N,K,9,K,A
N,Q,N,N,K
Q,J,9,A,10
Q,Q,W,N,A
A,N,10,K,J
K,N,K,10,K
J,N,N,Q,J
9,K,N,N,A
10,W,A,Q,9
N,N,N,N,N
N,N,J,K,K
N,9,K,9,J
9,W,Q,9,10
A,Q,J,J,Q
10,A,9,Q,N
N,N,N,N,W
N,10,10,J,N
10,N,N,A,10
N,J,9,A,K
