H4,H3,H3,SB,H3,L3,SB
SB,H4,H4,H4,L3,SA,L2
SB,L3,L4,L1,L3,L3,L2
H2,L3,H3,H4,L3,SA,L3
H1,L2,L2,L4,L3,H3,L2
L3,H4,L2,H4,L2,L3,L2
H1,SA,L3,H4,H4,H4,H2
L3,H1,L4,SB,SA,H4,L3
L1,H4,L4,H4,L4,L3,H2
L4,L4,L4,L3,H4,L2,L4
H2,L4,H1,L2,L4,H2,L2
H3,L3,SB,L4,SB,H4,H3
L3,H3,L1,H4,L2,L2,L2
L1,SA,L2,H2,H1,SB,H2
SB,L3,L2,L4,L3,H4,L2
SB,L2,L1,L4,SB,SA,H3
L4,L2,H4,L4,L1,L2,L3
H2,L2,L2,L3,SA,L2,H4
L1,L4,L2,H4,L1,H4,L4
SB,L2,H3,H1,L3,L1,L1
L4,L4,SA,L4,L2,L4,H1
L4,L4,L3,L2,L4,L3,L3
H2,H2,L3,L4,L1,SA,L3
L1,SB,SB,L2,L3,H3,SB
SB,SA,SB,L3,L1,L1,H2
H2,L2,H2,H3,H1,L3,H1
L1,H3,L4,L1,L4,L4,SA
SA,H1,L1,L3,L2,L1,H2
L2,H1,H4,L3,SA,L3,L2
L4,L3,SA,L2,L4,L3,H4
L1,L2,L1,L3,L1,L3,H4
L4,L3,H1,L4,L3,H4,H2
L4,L1,H4,H3,L1,H1,L3
L1,SB,H2,SB,L3,H3,H4
L3,L4,H2,H3,H4,L1,L4
SB,H4,H3,L3,H2,SA,L4
H4,H4,L4,SA,L2,L2,L3
L1,SB,L4,L2,H4,L3,H1
L1,L1,L1,L4,L1,L4,H2
H2,L3,L4,H2,L1,H3,H2
L4,L2,L2,L1,L2,H1,L4
SA,L3,L1,SA,L1,SB,L3
H2,L1,L3,L1,L4,H3,H4
L2,L4,L3,H1,H4,L1,SA
L4,SB,H3,L1,L2,H4,L2
H4,L4,L2,L4,L4,L4,SA
L4,L1,SB,H3,L1,L1,SB
H4,L4,SB,L1,L2,H4,L4
H4,H3,L4,L3,L1,H2,SB
H1,SB,L4,SA,L4,L2,SB
H4,H2,L1,SB,SB,SB,L2
L4,L1,H2,L1,H3,H2,SA
L2,SA,L2,L2,SB,H3,L4
L2,SA,L1,L4,L4,L3,L1
