K,A,10,J,J
Q,K,S,K,8
A,A,K,J,J
A,S,J,S,8
J,W,10,A,Q
8,9,10,Q,J
9,K,K,8,K
9,9,10,A,W
K,8,K,S,10
9,J,K,A,J
10,K,J,K,8
10,W,9,Q,9
9,J,10,K,Q
J,Q,W,8,10
J,9,A,J,A
9,8,10,K,J
9,J,W,8,W
Q,10,Q,J,S
10,8,8,9,J
Q,S,W,K,A
K,Q,Q,8,K
8,8,W,S,10
A,K,S,10,9
K,10,8,Q,W
A,10,S,Q,S
K,10,S,J,Q
9,Q,S,S,A
9,W,A,K,9
10,J,A,J,K
K,W,K,S,Q
Q,W,S,Q,10
8,J,S,J,10
8,9,W,S,W
K,J,J,K,9
A,S,J,J,A
K,A,J,K,A
9,K,S,J,10
S,J,S,Q,W
J,W,8,J,K
K,8,9,8,8
S,A,K,A,8
9,K,J,J,J
S,Q,8,Q,10
S,J,K,W,S
K,A,S,A,K
J,Q,8,W,W
J,8,A,Q,8
A,8,10,W,10
8,S,W,Q,J
10,J,A,S,A
9,A,A,W,S
Q,A,S,K,Q
K,K,J,8,K
J,A,K,8,S
9,10,J,9,J
10,8,Q,10,W
9,K,A,W,K
K,S,J,S,10
Q,9,K,J,9
10,Q,W,S,10
