10,A,10,K,Q
Q,K,K,Q,10
Q,J,9,J,10
10,W,10,A,K
9,8,10,A,A
Q,Q,10,Q,W
10,8,A,K,K
9,Q,A,9,Q
J,Q,A,10,9
8,A,9,J,J
9,K,9,8,Q
K,Q,Q,8,A
K,9,8,J,10
K,K,8,A,W
K,J,W,9,10
8,J,J,A,J
J,9,10,K,10
Q,8,9,A,K
Q,Q,10,A,K
10,8,9,9,8
10,K,8,J,10
A,8,A,J,9
J,K,9,9,K
9,10,10,8,9
J,10,Q,J,8
9,8,Q,10,8
10,A,10,10,J
J,9,W,W,W
9,J,W,Q,K
Q,9,K,J,10
K,J,Q,A,A
K,W,K,W,8
9,J,8,W,8
K,Q,A,K,8
K,Q,W,A,J
8,K,W,Q,W
9,9,W,8,W
K,W,W,10,J
8,10,W,J,10
J,K,10,J,10
Q,9,K,Q,Q
K,8,Q,J,K
J,8,9,W,8
A,J,8,8,A
8,8,W,A,9
Q,8,8,J,W
K,10,8,W,A
J,9,8,Q,W
K,A,8,A,K
9,8,Q,W,Q
A,10,8,9,J
J,9,9,8,10
8,8,10,K,W
A,A,9,J,K
8,A,A,J,J
8,A,Q,J,Q
J,K,J,W,10
8,9,Q,K,Q
Q,K,A,10,8
J,J,K,J,K
